cod_ubicacion,cod_sector,empleo,excedente,insumos_intermedios_domesticos,insumos_intermedios_importados,exportaciones,ventas_intermedias,ventas_domesticas,produccion_bruta,insumos_intermedios_totales,valor_agregado,remuneraciones,ventas_consumo_final
3.0,16.0,0.285117357969284,12424.557993320985,25557.297686157777,3538.2826829204723,2470.607742538486,7255.60629530246,50485.60502074992,52956.21276328841,29095.58036907825,23860.632394210155,11436.074400889174,43229.998724435645
3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,18.0,3.603097915649414,73938.7246004267,80335.48627785627,22444.19377870329,8860.844000684765,157380.3367957483,228166.64558143975,237027.48958212457,102779.68005655956,134247.809525565,60309.0849251383,70786.30878569148
3.0,19.0,0.259754329919815,44004.9846915618,88971.53349404536,78299.23548638518,0.0,236552.11734552283,236552.12308252696,236552.12308252696,167270.76898043056,69281.35410209645,25276.36941053465,0.0057370041520281
3.0,20.0,0.6912940740585327,32577.869383542635,6814.386753022038,609.1873930118173,0.0,48358.65854076525,49995.23363569978,49995.23363569978,7423.574146033855,42571.65948966592,9993.790106123282,1636.5750939227084
3.0,21.0,14.008386611938477,447031.798244405,1245855.2963424951,222467.64893419357,0.0,653602.9685784836,2497779.9051430672,2497779.9051430672,1468322.9452766886,1029456.9598663788,582425.1616219738,1844176.936563572
3.0,22.0,5.597692966461182,29778.45830654487,35207.08036375343,39214.826348090704,30931.429018225488,11920.743246308528,85281.49209563207,116212.92111486936,74421.90671285595,41791.01440201341,12012.55609546854,73360.74884932353
3.0,23.0,17.537656784057617,413776.1130808151,94681.5642508898,675.3135912513575,79433.72126714277,49777.38809784989,460254.1409693006,539687.8622364433,95356.87784214116,444330.9843943021,30554.871313487063,410476.7528724625
3.0,24.0,22.51411247253418,40171.48727023443,57058.01127463941,10912.189417709358,0.0,28408.657678758223,137908.59839208942,137908.59839208942,67970.20069234876,69938.39770075247,29766.910430518044,109499.9407133312
3.0,25.0,10.124807357788086,87348.80190142957,113064.1804937975,28781.513734857872,0.0,48206.63906376238,265523.2105262625,265523.2105262625,141845.69422865537,123677.51629760714,36328.7143971894,217316.571463512
3.0,26.0,10.23761749267578,133123.72218220378,225258.0984585934,150372.66003409517,13379.17492307889,443642.7041942281,571493.8750024503,584873.0499255293,375630.7584926887,209242.29143284063,76118.56925063685,127851.17080822228
3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
